label,duration,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,file,strain
flat,0.0281,44400,44400,44400,44400,44400,44400,44400,44400,44400,44400,44400,44400,44400,44400,44400,44400,44400,44400,44400,44400,44400,44400,44400,44400,44400,44900,44400,44400,44400,44900,44900,44900,44900,44900,44900,44900,44900,44900,44900,44900,44900,44900,44900,44900,44900,44900,44900,44900,44900,,T0000085,SD
short,0.0056,,,,,,,,,,,,,,,,,,,50200,50200,50200,50200,50200,,,,,,,,,,,,,,49300,49300,49300,49300,49300,49300,49300,49300,49300,,,,,,T0000085,SD
flat,0.089,,43400,43400,42900,42400,42400,42400,,,,41000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40000,,,,T0000085,SD
flat,0.0604,44900,44900,44400,44400,44400,43900,43900,,,43400,42900,42900,42900,42900,42400,,,,,,,41500,41500,41900,41000,41000,41500,41500,41000,41500,41000,41000,41000,40500,41000,,,,,,,,,,,,,,,,T0000085,SD
flat,0.0911,43400,42900,42400,42900,42900,42900,42900,42400,42400,42400,42400,42400,41900,41900,,,,,,,41000,41000,41000,,41000,41000,41000,41000,41000,40500,40500,40500,40500,41000,41000,41000,41000,41000,41000,40500,40500,40500,41000,40500,41000,40500,41000,40500,40500,40500,T0000085,SD
flat,0.0517,42900,42400,,42400,42400,42400,42400,,41900,41900,41900,41900,41900,,,41900,41900,41900,41900,41900,41900,41900,41900,41900,41900,41900,41900,41900,41500,41900,41900,41900,41500,41500,41900,41900,41500,41900,41900,41500,41500,41900,41900,,,,41900,,,,T0000085,SD
flat-z,0.1003,,,,,,,,,,,,,,,,,,,,47800,47300,47300,,,,42900,42900,42900,42400,42400,41900,,,,,,,,,,,41900,,,,,41900,41500,41900,,T0000085,SD
flat,0.0563,,,47800,47300,47300,47300,47300,47300,47300,47300,47300,46800,46800,46800,46800,,,,,46800,46800,46800,47300,47300,47300,47300,47300,47800,47800,47800,47800,47800,48300,,,,48300,48800,48800,48800,48800,48800,48800,48800,48800,48800,48800,48800,48800,,T0000085,SD
flat-z,0.0496,,49300,49300,48800,48800,48800,48800,48800,48800,48800,48800,48800,48800,48800,48800,48300,48800,48300,48300,48300,48300,48300,48300,48300,48300,48300,48800,48300,48300,48800,48300,48300,48300,48800,48300,48800,48800,43900,43900,43900,43900,43900,43900,43900,43900,43400,43900,43400,43900,43400,T0000085,SD
flat-z,0.0896,,41900,41900,41500,,,,,,,,,,,,,,,,,,,,,,,,48800,48800,48800,48800,48300,48300,43900,43400,43400,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,T0000085,SD
flat,0.0404,43400,43400,43400,43400,42900,43400,42900,42900,42900,42900,42900,42900,42900,42900,42400,42900,42400,42400,42400,42400,42400,42400,42400,41900,41900,41900,41900,41900,41900,41900,41900,,,,41500,41900,41500,41500,41500,41500,41500,41500,41500,41500,41500,41500,41500,41500,41500,,T0000085,SD
flat,0.0327,,,,49800,,49800,50200,50200,50200,50200,50200,50200,50700,50200,50700,50700,50700,50700,50700,50700,51200,51200,51200,51200,51200,51200,51200,51200,51700,51700,51700,51700,51700,51700,51700,51700,52200,52200,52200,52200,52200,52200,52200,52200,52200,52200,52200,52200,52200,51700,T0000085,SD
flat-z,0.0691,49300,49800,49800,49800,49800,49800,49800,49800,49800,49300,49300,49300,49300,48800,48800,48800,48800,48800,48800,48300,,,,,,,,,48300,48300,48800,48800,48800,48800,48300,48300,48300,48300,48300,48300,47800,48300,42400,41900,41500,41900,41900,41900,41900,,T0000085,SD
flat-z,0.0988,41900,42400,41900,41900,41500,41500,82500,82500,82500,,,,,,49800,49800,49800,49800,49800,49800,49300,49300,49300,49300,48800,48800,48300,48800,,48300,48300,,,,,,47300,47300,47300,47300,47300,47800,47800,47800,47800,47300,47800,47300,42400,,T0000085,SD
flat,0.065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28300,,,,,,,,,,,,,,,T0000085,SD
flat,0.0343,,,,,,,45800,,,,,,,,,,,,,,,,,,,48800,48800,48800,48800,48800,49300,48800,,76600,76600,76600,,,48800,49800,49300,49300,48800,49300,49300,49300,49300,,,,T0000085,SD
flat,0.0604,43900,43900,43900,43900,43900,43900,43900,43900,43900,43900,43900,43400,43400,43400,43400,43400,43400,43400,43400,,,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42400,42400,42400,42400,42900,42400,42400,42400,T0000085,SD
flat,0.0885,,,,,,,42900,,,,41500,,40500,,,,,,,,,,,,,,,,,,39500,40000,,,,,40000,,,,,,,,,,40500,,,,T0000085,SD
flat,0.0993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T0000085,SD
flat,0.087,43900,43900,43400,42900,42900,42400,41900,,41500,41000,,,,40500,40500,39500,40000,39500,,,,39000,39000,,38500,,,,,,,,,,39000,39000,39500,,39000,,,,,,,,,,,,T0000085,SD
flat,0.0926,43400,43400,43400,42900,42900,42400,42400,,41900,,,,,41000,41000,40500,40500,40500,40500,40500,40500,40000,39500,39500,,39500,,,,,,,,,,40000,39500,39500,39500,40000,39500,39500,39500,,39500,40000,,39500,,,T0000085,SD
flat,0.0302,,,,42400,42400,42400,42400,42400,42400,42400,41900,,,,,,,,,,41900,41900,41900,41900,41900,41900,41900,41900,41900,41900,41900,41900,41900,41900,42400,42400,42400,42400,42400,42400,42400,42900,42900,42900,42900,42900,,,,,T0000085,SD
flat,0.0332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T0000085,SD
flat,0.0368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T0000085,SD
flat,0.0742,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T0000085,SD
flat-z,0.0419,,,,,49300,,,,,,,,,,,,,,45400,,,,45400,45400,45400,45400,45400,45400,45400,45400,45400,45400,44900,44900,44900,44400,,44400,44400,,,,,,,,,,,,T0000085,SD
flat,0.1489,,,45800,43400,42900,42400,41900,41500,41500,41000,40500,40500,40000,,,39500,39500,40000,40000,39500,39500,,39500,39500,,,,,,,,,,,,43400,42900,42900,41900,41500,41000,,,,,,,,,,T0000085,SD
flat,0.043,,,42400,,42400,42400,42400,41900,41900,41900,41500,41500,41500,41500,41500,41000,41000,,,,,,,,,,,,,,40500,41000,41000,40500,40500,41000,,40500,40500,41000,41000,40500,40500,40500,40500,40000,40000,40500,40000,,T0000085,SD
flat,0.0542,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T0000085,SD
flat,0.0568,,,41000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T0000085,SD
flat,0.0721,45800,45800,45800,,45400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44900,44900,,,44900,,T0000085,SD
flat,0.1505,55600,55600,55100,54600,54100,53700,52700,51700,51700,51200,,,,49800,49800,49300,49300,49300,48800,48800,48800,48800,48300,48800,48300,48800,48800,48800,49300,,,,,,,,,,,,,,,,,,52700,52200,52700,,T0000085,SD
flat-mz,0.1909,,,,,18500,,,,,,,,43400,,43900,44400,44400,44900,45400,45800,,47800,47800,48300,48300,47800,,44900,44400,44900,44400,44900,44900,44900,44900,44900,44900,44900,44900,44900,,,44400,43900,43900,,,,41500,,T0000085,SD
flat,0.172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43900,43900,,,43400,,86900,,,,,,,,,42400,,84400,,,16100,T0000085,SD
flat,0.0286,,,,,,,,,49800,,49800,49800,50200,50200,49800,49800,49800,49800,49800,49800,49800,,,,49800,49800,49800,49800,49800,49800,49800,49800,49800,49800,49800,50200,49800,,,,,,,49800,,,,,,,T0000085,SD
flat,0.0225,,,,,,,,,,,,,,,41000,40000,,,,40500,40500,40500,40500,,,,,40500,40500,40500,40500,40000,,,,,,,,,,,,,,,,,,,T0000085,SD
flat,0.0716,,,,,,,,16100,,,,,,,,,,,,,,,,,,41000,41000,,41000,41000,41000,41000,,41000,41000,,,40500,40500,41000,40500,40500,,,,,40500,40500,40500,,T0000085,SD
flat,0.1162,,,84900,84900,84400,84400,84400,41900,83900,41900,,83900,,,,41000,41500,41500,41500,41500,41500,41500,41500,41500,41500,41500,41500,83400,83400,83000,,,,,41500,41500,41500,41500,41000,41500,,41000,,,,,,,,,T0000085,SD
flat,0.1024,,,,41500,,,41500,41500,41500,,,,41000,41000,,,,41000,,,,,,,41000,41000,,41000,41500,41000,41000,41000,41000,41500,41000,41500,41500,41500,41000,41000,41000,41500,41500,,,,,,,,T0000085,SD
flat,0.1111,,,,,,84900,,,,,,,,,,85900,,84900,,,,86400,,,,,,,,,,,,,,,,,41000,,,,,,,40500,,,,,T0000085,SD
flat,0.0742,,,,,,42400,,,41500,,,41000,,40500,40500,,40000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T0000085,SD
flat,0.0143,,,52200,52200,52200,52200,52200,52200,52200,52200,52200,52200,52200,52200,52200,52200,52200,52200,52200,52200,52200,52200,52200,51700,51700,52200,52200,51700,51700,51700,51700,51700,51200,51200,51200,51200,51200,51200,51200,51200,51200,51200,51200,51200,50700,50700,50200,50200,50200,,T0000085,SD
flat,0.0389,,,,,,42400,,,,,,41500,41500,41500,41500,41500,41500,41500,41000,41000,41500,41000,41000,41000,41000,41000,41000,41000,41500,41500,41000,41500,41000,41500,41500,41500,41900,41900,41900,41900,41900,41900,41900,42400,42400,42400,42400,42400,,,T0000085,SD
flat,0.068,,,,,43400,,,,,42400,,,,,41500,41500,,,,,41000,,,,,,,,,,,,,41000,41000,41000,41000,41500,41500,41900,41000,41500,41900,41900,41900,42400,42400,,42900,,T0000085,SD
flat,0.0583,,47300,46800,,,,,,44900,44400,43900,43900,43900,43400,,,,,42400,42400,42400,41900,41900,41900,41900,41500,41500,41500,41500,41500,41500,41000,41000,41000,41000,41000,41000,41000,41000,41000,41000,41500,41500,41500,,41500,41900,42400,42400,43400,T0000085,SD
flat,0.132,,,,,,,,,,,,,,,,,,41500,,41000,,41000,,41000,41000,,,,,,,,,,,,,,,,,,,40500,,,,,,39000,T0000085,SD
flat,0.0803,,,,,,86400,,,,,,,,,,,40500,40500,40500,40500,,40000,40000,39500,40000,40000,40000,40000,40000,40500,,,,,,,,,,39500,39500,39500,,,,,39500,39500,39500,39000,T0000085,SD
flat,0.1264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T0000085,SD
flat,0.0542,42400,42400,42400,42400,41900,41900,41900,41500,41500,41500,41000,41000,40500,40500,40500,,,,39500,39500,39500,39500,39000,,39000,39000,39000,39000,,,,,,,,,,,,,,,,,,,,,,,T0000085,SD
flat,0.0486,42400,42400,42400,42400,42400,42400,41900,41900,41900,41500,41500,41500,41500,41500,41000,,41500,40500,,,,40000,40000,,,,,,,,40000,39500,40000,39500,40000,40000,40000,40000,40000,40000,40000,40000,,,,,,,,,T0000085,SD
flat,0.0957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39500,39500,,,,,,,,,,,T0000085,SD
flat,0.045,,,,,,,,,,,,,,40500,40500,40500,,40500,,,,,,,,,,,,,,,,,,,,40000,40000,41000,40000,,41500,40500,41000,,,,,,T0000085,SD
flat,0.0317,43400,43400,43900,43900,43900,43900,43400,43400,,,,42900,42900,42900,42400,42400,42400,42400,41900,41900,41900,41500,41500,41500,41500,41500,41500,41000,41000,41000,41000,40500,40500,40000,40500,40500,40500,40000,40000,40000,40000,40000,39500,39500,,,,,,,T0000085,SD
flat,0.107,41500,41900,41900,41900,41900,41900,41500,41500,41500,41500,41000,41000,41000,40500,40500,40500,40500,40500,40500,40000,40000,40500,40000,40000,40000,40000,40000,40000,40000,40000,39500,,39500,,39500,39500,39500,39500,39500,39500,39500,39500,39000,,39000,39000,39000,39000,39000,39500,T0000085,SD
flat,0.1008,,,,,,41500,,,40500,40500,40500,40000,40500,40500,40000,40000,,,39500,39500,,,,40500,40000,39500,,,,,,39500,40000,40000,40000,40000,40000,40000,40000,40000,39500,,39500,,,40000,38500,39000,39500,38500,T0000085,SD
flat,0.0972,,,,,40000,,,40000,40500,40000,,40500,,,,,39500,39500,39500,39500,,,,39000,,,,,,,,39000,39000,,39500,39500,39500,,39500,39500,39500,,,,,,,,,,T0000085,SD
step up,0.1203,,,,,40500,40500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52700,52200,52200,T0000085,SD
flat,0.0419,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41500,41500,41500,,41500,41500,,,,,,,,,,,,,42400,,,,T0000085,SD
short,0.0087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T0000085,SD
flat,0.0522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T0000085,SD
flat,0.0542,44900,44900,,,44900,44900,44900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T0000085,SD
flat,0.0865,52200,51700,51200,51700,50700,,51700,,,,,,,,50200,,,60500,,,,,,14600,,,23900,14600,14600,,,,,,,,,46800,14600,,,47300,47800,,47800,14600,,48300,,,T0000085,SD
flat,0.0921,,43400,,43400,42900,42900,,,,41900,41900,41900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T0000085,SD
flat,0.0819,,,,,40000,,39500,40000,40000,40000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T0000085,SD
,0.0153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T0000085,SD
flat,0.0609,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T0000085,SD
flat,0.0926,,,,51700,51700,51200,51200,50700,50700,50200,49800,49300,49300,49300,49300,48800,48800,48800,48300,48300,,,,,,,,,,,,,,,,,45400,45400,44900,44400,44400,,,,,,,,,,T0000085,SD
flat,0.0332,,,,,,,,,43900,43900,,,,,,42900,,,,,42900,42900,42900,,,,,,,,,,,,,,42400,42400,42400,,,,,,,,,,,,T0000085,SD
flat,0.128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T0000085,SD
flat,0.0788,,,43400,43400,42900,42900,42900,42900,42900,42900,,42400,42400,42400,42400,42400,41900,41900,41900,41900,41500,,,,,,,,,,,,,,,41500,41500,41500,41500,41500,41500,41500,41900,41900,41900,41900,41900,41900,41900,41500,T0000085,SD
flat,0.0578,43400,,,,,,,,42400,42400,42400,42400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T0000085,SD
flat,0.0455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T0000085,SD
flat,0.1474,41500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T0000085,SD
flat,0.0276,,,,,,,,39500,,,,,,,,,,39500,,,,,,39500,,,,,39500,,,,,,,,,,39500,,,,,,,,,,,,T0000085,SD
flat,0.0701,,,,,,,,,,,,,41500,41500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T0000085,SD
flat,0.0261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T0000085,SD
flat,0.0296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T0000085,SD
flat,0.1382,,,,,,,,,,40000,,40000,40000,40500,40000,40000,,,40000,40000,40000,,,39500,,39500,39500,,,,39500,39500,39500,39500,39500,39500,39000,39000,,,,,,,,,,,,,T0000085,SD
flat,0.0583,,,48300,,,48300,48300,47800,47800,48300,,47800,47800,,47800,48300,47800,47800,47800,48300,48300,96100,47800,47800,48300,48300,47800,48300,48300,47800,47800,47800,47800,47800,47800,47800,47800,47800,47800,47800,47800,47800,47800,47800,47800,47800,,,48300,48300,T0000085,SD
flat,0.0332,,,,,,39000,39500,39500,39000,39500,39500,39500,39500,40000,39500,39000,39500,39500,39500,39500,39500,,,39000,,,39000,39000,,,39000,39000,39000,39000,39000,39000,39000,39000,,,,,,39500,,39000,,,,,T0000085,SD
step down,0.0788,,,,,,,,,,,,,,,21400,,,81000,,,,,,,,,,,,,,,,,,,39000,39000,,,,39500,,,,,,,,,T0000085,SD
flat,0.0337,,,,,,,,,,,,,,,,,,,,,,,,,,39500,,39500,,39500,39500,,,,,,39000,39000,39000,,,,,39000,39000,39000,,,,,T0000085,SD
